name;position;value;valuemax;age;goals;assists;yellow;red;shotspergame;passsuccess;aerialswon;rating;positioncode;
Oliver Burke;striker;10;10;20;1;2;1;0;0.4;72.6;0.9;6.24;3;
Andrej Kramaric;striker;9;9;25;15;8;1;0;2.9;83.5;0.2;7.1;3;
Max Kruse;striker;8;12;29;14;6;1;0;1.8;76.3;1.9;7.51;3;
Bojan Krkic;striker;8;15;26;1;1;1;0;1.2;78.8;0.4;6.59;3;
Eric Maxim Choupo-Moting;striker;8;10;28;3;4;1;0;2.1;73.3;2.7;6.96;3;
Mario Gmez;striker;7.5;42;31;16;1;4;0;2.6;62.9;4;7.14;3;
Raffael;striker;7;10;32;6;0;1;0;2.3;76.1;0.5;7.19;3;
Maximilian Philipp;striker;7;7;23;9;2;5;0;2.1;69.3;1.5;6.98;3;
Vincenzo Grifo;striker;7;7;24;6;7;1;0;2.8;72.9;0.6;7.16;3;
Jhon Crdoba;striker;7;7;24;5;3;8;1;2.1;68.3;2.8;6.86;3;
Andr Hahn;striker;6;8;26;3;1;3;0;1.1;59.2;2.7;6.54;3;
Yussuf Poulsen;striker;6;6;22;4;4;4;0;1.6;66.5;3.9;7;3;
Sandro Wagner;striker;5.5;5.5;29;11;2;3;1;2.1;62.9;3.3;7.05;3;
Salomon Kalou;striker;5;15;31;7;4;1;0;1.5;73;1.1;6.87;3;
Daniel Caligiuri;striker;5;7.5;29;2;3;0;0;1.1;76.1;1.3;6.93;3;
Guido Burgstaller;striker;5;5;28;9;2;1;0;2.6;70.1;1.1;6.86;3;
Mark Uth;striker;5;5;25;7;3;4;0;1.7;73.4;0.6;6.89;3;
Levin ztunali;striker;5;5;21;5;6;1;0;1;61;0.6;6.79;3;
Jairo Samperio;striker;5;6;23;2;1;5;0;1.6;62.8;0.6;6.45;3;
Emre Mor;striker;5;5;19;1;2;0;1;0.8;75;0.3;6.71;3;
Jakub Blaszczykowski;striker;4.5;18;31;0;1;2;0;0.4;77.2;0.5;6.72;3;
Nicolai Mller;striker;4.5;7;29;5;6;4;0;1.8;62.4;1.2;6.95;3;
Ral Bobadilla;striker;4.5;5.5;29;4;1;1;0;1.9;72.1;0.9;6.7;3;
Alfred Finnbogason;striker;4.5;9;28;3;1;1;1;1.8;67.3;1.8;6.71;3;
Yoshinori Muto;striker;4.5;5.5;24;5;0;3;0;1;63.1;1;6.54;3;
Admir Mehmedi;striker;4;7;26;3;0;1;0;0.7;75.6;1.1;6.52;3;
Jonathan Schmid;striker;4;5;26;1;3;1;0;0.9;69.9;1;6.62;3;
Josip Drmic;striker;4;12;24;0;0;0;0;0.8;63.9;1.7;6.16;3;
Nils Petersen;striker;3.5;6;28;9;4;0;0;1.5;56.6;3.3;6.69;3;
Bobby Wood;striker;3.5;3.5;24;5;2;1;1;1.4;62.2;3.7;6.7;3;
Pablo de Blasis;striker;3.5;3.5;29;5;4;5;0;1.1;66.5;1;6.59;3;
Yuya Osako;striker;3.5;3.5;26;6;5;4;0;1.4;70.6;1.2;6.97;3;
Haris Seferovic;striker;3.5;8;25;3;0;1;1;1.2;63.5;1.1;6.27;3;
Michael Gregoritsch;striker;3.5;3.5;23;5;1;3;0;1.8;61.1;3.7;6.62;3;
Janik Haberer;striker;3.5;3.5;23;3;4;7;0;0.9;69.7;2.3;6.72;3;
Vedad Ibisevic;striker;3;10;32;12;4;6;1;2.2;62.5;3.8;7;3;
Franco Di Santo;striker;3;8.5;28;0;2;2;0;0.5;63.5;1.7;6.43;3;
Pierre-Michel Lasogga;striker;3;12;25;1;0;2;0;0.9;64.3;2.3;6.2;3;
Genki Haraguchi;striker;3;3;26;1;2;4;0;0.9;74.5;1;6.7;3;
Daro Lezcano;striker;3;3.5;26;6;3;3;0;1.7;72.6;3;6.79;3;
Davie Selke;striker;3;5;22;4;1;3;0;0.7;60.7;1.6;6.37;3;
Shani Tarashaj;striker;3;4;22;1;0;1;0;0.5;70.1;0.1;6.19;3;
Klaas-Jan Huntelaar;striker;2.5;20;33;2;0;1;0;1.6;74.8;1.5;6.32;3;
Alexander Esswein;striker;2.5;3.5;27;2;2;4;0;0.9;72.1;0.5;6.48;3;
Caiuby;striker;2.5;2.5;28;0;0;1;0;1.5;61.7;6;6.66;3;
Julian Schieber;striker;2.5;8;28;3;1;3;0;0.8;56.4;1.6;6.4;3;
Simon Zoller;striker;2.5;3;25;2;2;3;0;0.5;69.7;1.1;6.37;3;
Florian Niederlechner;striker;2.5;2.5;26;11;2;4;0;2.2;67.2;1.7;6.82;3;
Branimir Hrgota;striker;2.5;3.5;24;5;1;2;0;1.4;77;0.6;6.54;3;
Donis Avdijaj;striker;2.5;3;20;1;0;1;0;1.4;70.7;0.1;6.3;3;
Borja Mayoral;striker;2.5;2.5;20;2;0;1;0;0.6;76.7;0.3;6.26;3;
Alexander Meier;striker;2;4.5;34;5;2;1;0;2.1;65;3.4;6.78;3;
Stefan Kieling;striker;2;15;33;3;1;0;0;1.1;64.4;2.8;6.57;3;
Lukas Hinterseer;striker;2;2;26;3;1;2;0;0.7;63;2;6.29;3;
Aron Jhannsson;striker;2;4;26;1;1;1;1;1.2;72.5;0.8;6.13;3;
Karim Onisiwo;striker;2;2;25;1;0;4;0;0.9;63.3;1.4;6.42;3;
Mathew Leckie;striker;2;2.2;26;0;2;2;2;1.7;65.9;4.8;6.95;3;
Dong-Won Ji;striker;2;2.5;25;3;2;4;0;1.4;68.1;3.7;6.81;3;
Sehrou Guirassy;striker;2;2;21;0;0;2;0;0.2;64.3;0.8;5.95;3;
Gerrit Holtmann;striker;1.75;2.5;22;0;1;0;0;0.5;72.7;0.3;6.21;3;
dm Szalai;striker;1.5;7;29;8;1;2;0;0.9;71.6;1.1;6.76;3;
Marco Terrazzino;striker;1.5;1.5;26;1;2;0;0;0.7;80.9;0.8;6.57;3;
Artjoms Rudnevs;striker;1.5;6.5;29;3;3;3;0;1.2;60.1;1.2;6.45;3;
Takashi Usami;striker;1.5;2.5;25;0;0;0;0;0.2;66.7;0.4;6.4;3;
Joel Pohjanpalo;striker;1.5;1.8;22;5;0;0;0;1.7;62.2;1.4;6.64;3;
Ante Rebic;striker;1.5;4.5;23;2;2;10;0;1.8;52.4;1.4;6.61;3;
Luca Waldschmidt;striker;1.5;1.5;20;0;1;0;0;0.6;69.1;0.3;6.21;3;
Robert Leipertz;striker;1.25;1.5;24;0;0;0;0;0.5;71.4;0;6.03;3;
Claudio Pizarro;striker;1;12.5;38;1;1;1;0;1.1;65.6;1.6;6.51;3;
Danny Blum;striker;1;1;26;0;1;0;0;1.6;67.8;0.7;6.34;3;
Moritz Hartmann;striker;1;1.5;30;1;0;0;0;1.4;65.5;2.4;6.46;3;
Sven Schipplock;striker;1;2.5;28;1;0;3;0;0.7;54.9;2.8;6.38;3;
Havard Nielsen;striker;1;2;23;0;1;0;0;0;54.5;1;6.17;3;
Antonio Colak;striker;1;1;23;4;0;0;1;1.5;62.4;3;6.38;3;
Victor Osimhen;striker;1;1;18;0;0;1;0;1;72.7;1;6.26;3;
Thiago;midfielder;40;40;26;6;5;4;0;1.3;90.2;1.7;8.28;2;
Arturo Vidal;midfielder;37;45;29;3;2;7;0;1.4;87.9;2.1;7.22;2;
Renato Sanches;midfielder;30;30;19;0;0;3;0;0.7;88;0.4;6.43;2;
Joshua Kimmich;midfielder;25;25;22;5;1;1;0;1.1;89.8;0.9;6.96;2;
Julian Weigl;midfielder;23;23;21;0;0;2;0;0.2;89.5;1.8;7.07;2;
Karim Bellarabi;midfielder;22;22;27;2;6;4;0;2.2;72.3;0.4;6.93;2;
Naby Keta;midfielder;22;22;22;8;7;8;0;1.4;81.5;0.5;7.57;2;
Mario Gtze;midfielder;20;55;24;1;1;1;0;0.5;82.5;0.2;6.7;2;
Hakan Calhanoglu;midfielder;20;20;23;6;5;1;0;3.1;77.6;1.7;7.49;2;
Leon Goretzka;midfielder;20;20;22;5;2;2;0;1.7;78.5;1.6;7.23;2;
Julian Brandt;midfielder;20;20;21;3;7;0;0;1.4;77.4;0.7;6.89;2;
Nabil Bentaleb;midfielder;18;18;22;5;5;12;0;1.3;81.3;1.4;6.95;2;
Max Meyer;midfielder;16;16;21;1;1;4;0;1.1;85;0.3;6.54;2;
Gonzalo Castro;midfielder;15;15;29;3;6;5;0;1.1;84;0.4;7;2;
Lars Bender;midfielder;15;22;28;0;1;4;0;0.6;76.6;1.7;6.91;2;
Kevin Kampl;midfielder;15;15;26;1;2;4;0;1.1;83.8;0.4;6.94;2;
Johannes Geis;midfielder;15;15;23;0;0;4;0;0.8;78.6;2.3;7.29;2;
Mahmoud Dahoud;midfielder;15;15;21;2;6;3;0;1.5;81.4;0.5;7.1;2;
Luiz Gustavo;midfielder;14;22;29;0;0;6;1;0.7;84.8;1.3;6.89;2;
Shinji Kagawa;midfielder;13;22;28;1;5;2;0;0.9;84.7;0.5;6.78;2;
Yunus Malli;midfielder;13;13;25;6;6;0;0;1.9;68.8;0.2;7;2;
Christoph Kramer;midfielder;12;12;26;0;4;4;1;0.1;84.7;2.3;7.02;2;
Thorgan Hazard;midfielder;12;12;24;5;4;3;0;1.8;74.5;0.8;7;2;
Riechedly Bazoer;midfielder;12;15;20;0;1;5;0;1.6;82.1;0.4;6.38;2;
Josuha Guilavogui;midfielder;10;12;26;0;0;5;0;0.3;82.7;1.9;7.13;2;
Maximilian Arnold;midfielder;10;12;22;2;3;9;0;1.5;83.2;0.9;6.78;2;
Serge Gnabry;midfielder;10;10;21;11;1;1;0;2.4;76.5;0.5;6.99;2;
Vladimr Darida;midfielder;10;10;26;2;2;5;0;1.2;80.6;0.8;6.74;2;
Walace;midfielder;9;9;22;1;0;2;0;0.7;75;2.1;6.93;2;
Franck Ribry;midfielder;8;50;34;4;11;2;0;1;83.7;0.4;7.39;2;
Patrick Herrmann;midfielder;8;12;26;1;1;1;0;0.4;65.8;0.2;6.35;2;
Sebastian Rode;midfielder;8;10;26;1;0;0;0;0.4;88.9;0.9;6.47;2;
Charles Arnguiz;midfielder;8;12;28;1;2;7;1;0.7;79.1;0.8;6.58;2;
Alessandro Schpf;midfielder;7.5;7.5;23;6;2;4;0;1;77.5;0.8;7.12;2;
Benjamin Stambouli;midfielder;7;8;26;0;0;3;0;0.2;83.4;1.3;6.51;2;
Marc Stendera;midfielder;7;8;21;0;0;0;0;0;60.9;0;7.09;2;
Nadiem Amiri;midfielder;7;7;20;2;4;2;0;1.4;83.6;0.3;6.74;2;
Sebastian Rudy;midfielder;6.5;6.5;27;2;7;8;0;0.9;80.6;1.2;7.42;2;
Zlatko Junuzovic;midfielder;6;7;29;3;7;5;0;1.4;74.4;0.4;6.96;2;
Fabian Johnson;midfielder;6;7;29;3;2;1;0;1.1;71.9;1.1;6.64;2;
Lewis Holtby;midfielder;5.5;11;26;1;5;4;1;1;73.1;1.3;6.83;2;
Julian Baumgartlinger;midfielder;5;6;29;0;1;1;0;0.6;85.7;0.9;6.67;2;
Ibrahima Traor;midfielder;5;6;29;1;3;0;0;0.6;79;0.1;6.95;2;
Daniel Didavi;midfielder;5;7;27;4;2;0;0;1.6;78.1;0.7;6.57;2;
Marco Fabin;midfielder;5;7;27;7;4;9;0;2.7;79;0.9;7.15;2;
Lukas Rupp;midfielder;5;5;26;2;1;2;0;1.1;77.4;0.6;6.76;2;
Leonardo Bittencourt;midfielder;5;6.5;23;3;5;3;0;1.3;66.4;0.2;7.02;2;
Jean-Philippe Gbamin;midfielder;5;5;21;0;0;2;3;0.9;71.3;2.1;6.55;2;
Kai Havertz;midfielder;5;5;17;2;5;2;0;1.2;72.9;3.6;6.86;2;
Nuri Sahin;midfielder;4.5;20;28;0;0;0;0;0.3;87.4;0.5;6.68;2;
Marcel Risse;midfielder;4.5;4.5;27;2;4;1;0;1.7;62.1;0.3;7.24;2;
Ja-Cheol Koo;midfielder;4.5;5.5;28;2;3;6;1;1.3;78.1;2.5;6.7;2;
Thomas Delaney;midfielder;4.5;4.5;25;4;1;3;0;1;69.4;3.3;7.17;2;
Kerem Demirbay;midfielder;4.5;4.5;23;6;8;4;0;1.9;78.5;0.3;7.53;2;
Per Ciljan Skjelbred;midfielder;4;4;29;0;0;2;0;0.2;84.9;1.4;6.85;2;
Vieirinha;midfielder;4;8;31;0;0;2;0;1;75.1;1.5;6.72;2;
Danny Latza;midfielder;4;4;27;4;0;6;0;1.3;76.4;2.8;6.99;2;
Stefan Ilsanker;midfielder;4;4;27;0;0;8;0;0.3;77.7;2.7;7.05;2;
Marco Hger;midfielder;4;6;27;0;1;7;0;0.3;81.3;1.9;6.92;2;
Diego Demme;midfielder;4;4;25;1;3;4;0;0.5;78.9;0.9;7.17;2;
Pascal Gro;midfielder;4;4;25;4;4;5;0;1.5;69.1;1.1;7.01;2;
Omar Mascarell;midfielder;4;4;24;0;0;13;0;0.4;80.7;2.4;7.09;2;
Florian Grillitsch;midfielder;4;4;21;2;0;4;0;0.8;79.8;1.6;6.81;2;
Ondrej Duda;midfielder;4;4.5;22;0;0;0;0;0;74.1;0.7;6.23;2;
Jonas Hofmann;midfielder;3.5;6;24;0;0;0;0;1.1;77.1;0.1;6.53;2;
Xabi Alonso;midfielder;3.5;35;35;3;1;6;0;0.9;89.3;1.6;7.2;2;
Fabian Lustenberger;midfielder;3.5;5;29;0;1;1;0;0.1;81.9;1.4;6.88;2;
Valentin Stocker;midfielder;3.5;7;28;4;1;1;1;1.4;64.1;1.2;6.66;2;
Dominik Kohr;midfielder;3.5;3.5;23;2;0;12;1;1.1;73.7;1.9;6.96;2;
Fin Bartels;midfielder;3;3;30;7;7;3;0;1.4;74.6;0.6;7.04;2;
Albin Ekdal;midfielder;3;4.5;27;1;1;2;1;0.3;71.2;1.8;6.54;2;
Dominik Kaiser;midfielder;3;3;28;1;0;1;0;0.6;71.3;0.5;6.42;2;
Tobias Strobl;midfielder;3;3;27;0;2;6;1;0.4;86.1;1.6;6.55;2;
Mikel Merino;midfielder;3;3;20;0;0;1;0;0.6;83.7;1.6;6.54;2;
Christian Clemens;midfielder;2.75;3.5;25;0;0;0;0;1.3;77.1;0;6.34;2;
Fabian Frei;midfielder;2.75;5;28;0;1;3;0;0.7;75.1;1.1;6.67;2;
Florian Kainz;midfielder;2.75;4.5;24;2;3;0;0;0.1;79.7;0.4;6.53;2;
Eugen Polanski;midfielder;2.5;4.5;31;0;0;1;0;0.4;88.9;0.9;6.5;2;
Nicolas Hfler;midfielder;2.5;2.5;27;1;1;7;0;0.2;83.3;2.5;6.83;2;
Amir Abrashi;midfielder;2.5;2.5;27;1;0;3;0;0.5;77;1.6;6.6;2;
Steven Zuber;midfielder;2.5;3.2;25;4;4;1;0;1.5;81;0.3;7.21;2;
Robin Quaison;midfielder;2.5;2.5;23;1;0;0;0;0.4;59.8;0.6;6.31;2;
Daniel Baier;midfielder;2;3.5;32;1;3;4;0;0.9;73.3;1.3;7.07;2;
Mike Frantz;midfielder;2;2.5;30;0;1;2;0;0.8;74.5;2.3;6.74;2;
Makoto Hasebe;midfielder;2;5;33;1;1;2;0;0.4;82.3;1.8;6.97;2;
Alfredo Morales;midfielder;2;2;27;1;0;4;1;1;64.2;2.8;6.64;2;
Jrme Gondorf;midfielder;2;2;28;3;4;7;0;1.1;64;2.7;7.04;2;
Paul Seguin;midfielder;2;2;22;1;1;3;1;0.5;84.1;1;6.48;2;
Mijat Gacinovic;midfielder;2;2;22;2;0;9;0;1;70.9;1.1;6.78;2;
Gideon Jung;midfielder;2;2;22;0;0;3;0;0.4;69.6;2.1;6.65;2;
Pirmin Schwegler;midfielder;1.75;6;30;0;1;1;0;0.3;81;1.9;6.46;2;
Max Christiansen;midfielder;1.75;2.5;20;0;0;1;1;0.1;76.7;1.1;6.2;2;
Aaron Hunt;midfielder;1.5;7;30;4;2;3;0;0.6;73.6;0.6;6.65;2;
Marcel Heller;midfielder;1.5;1.75;31;2;3;2;0;1.2;65.4;0.3;6.41;2;
Philipp Bargfrede;midfielder;1.5;5;28;1;1;2;0;0.2;77.9;0.6;6.71;2;
Almog Cohen;midfielder;1.5;3;28;7;1;2;0;1.9;73.3;1.5;6.91;2;
Sambou Yatabar;midfielder;1.5;2.5;28;0;0;0;0;1;65.9;3.5;6.02;2;
Milos Jojic;midfielder;1.5;4.5;25;4;3;2;0;0.8;72;0.8;6.72;2;
Suat Serdar;midfielder;1.5;1.5;20;0;0;1;0;0.1;69.2;0.9;6.43;2;
Jrme Boateng;defender;40;45;28;0;1;1;0;0.3;87.8;1.3;6.75;1;
David Alaba;defender;40;45;24;4;4;1;0;1;88.3;0.7;7.15;1;
Mats Hummels;defender;38;38;28;1;1;4;0;1.1;88.8;3.4;7.32;1;
Sokratis;defender;28;28;28;2;0;6;0;0.7;87.8;3.8;7.23;1;
Javi Martnez;defender;25;37;28;1;1;5;0;0.4;91.6;2.4;7.27;1;
Jonathan Tah;defender;22;22;21;1;1;1;0;0.5;82.6;2.4;6.92;1;
Niklas Sle;defender;20;20;21;2;2;4;0;0.8;89.3;1.9;6.98;1;
Benedikt Hwedes;defender;18;18;29;1;1;7;0;0.6;86.3;2.2;7.16;1;
mer Toprak;defender;18;20;27;1;0;6;0;0.4;84.4;2.9;6.72;1;
Jonas Hector;defender;18;18;26;0;2;6;0;0.4;81.3;2.3;7.2;1;
Raphal Guerreiro;defender;18;18;23;6;3;0;0;1.3;79.8;0.3;7.15;1;
Ricardo Rodrguez;defender;17;28;24;2;3;1;0;0.9;82.2;1.4;6.72;1;
Juan Bernat;defender;16;20;24;2;2;1;0;0.6;89.5;0.9;7.13;1;
Andreas Christensen;defender;16;16;21;2;0;1;0;0.4;91.2;2.7;7.02;1;
Aleksandar Dragovic;defender;15;15;26;0;1;1;0;0.3;84.6;2.1;6.6;1;
Matthias Ginter;defender;15;15;23;0;1;4;0;0.6;87.4;3.2;6.82;1;
Matija Nastasic;defender;14;21;24;0;0;6;0;0.1;84.9;1.9;6.77;1;
Wendell;defender;13;15;23;2;2;7;1;0.6;79.8;1.2;7.02;1;
Yannick Gerhardt;defender;12;12;23;0;2;5;0;0.6;77.4;1.8;6.71;1;
Philipp Lahm;defender;11;30;33;1;2;1;0;0.3;89.9;0.7;7.12;1;
Jeffrey Bruma;defender;10;10;25;1;0;6;1;0.6;82.6;2.7;6.76;1;
Jannik Vestergaard;defender;10;10;24;4;1;1;0;1;84.8;3.7;7.15;1;
John Anthony Brooks;defender;10;10;24;2;0;5;0;0.5;86.1;2.4;7.06;1;
Benjamin Henrichs;defender;10;10;20;0;2;1;0;0.3;76.2;0.9;7.05;1;
Sven Bender;defender;9;18;28;0;1;0;0;0.4;93;0.4;6.59;1;
Marcel Schmelzer;defender;9;10;29;0;1;3;0;1;82.5;1.7;6.94;1;
Sead Kolasinac;defender;9;9;23;3;5;5;0;0.7;71.7;1.8;7.32;1;
Mitchell Weiser;defender;9;9;23;1;4;2;0;0.4;69.6;0.6;7.07;1;
Martin Hinteregger;defender;8;9;24;3;0;5;0;0.9;73.2;2.7;6.95;1;
Marc Bartra;defender;8;12;26;0;3;5;0;1;81.8;2.9;7.21;1;
Niklas Stark;defender;8;8;22;1;0;6;0;0.8;84.9;1.8;6.96;1;
Abdul Rahman Baba;defender;8;15;22;0;2;2;0;0.5;72.8;0.9;6.72;1;
Jess Vallejo;defender;8;8;20;0;0;4;0;0.2;85.4;2.3;6.86;1;
Nico Elvedi;defender;7;7;20;0;0;4;0;0.2;84.6;2.7;6.89;1;
Tin Jedvaj;defender;6.5;8;21;1;0;2;1;0.6;72.5;2.6;6.67;1;
Lukasz Piszczek;defender;6;16;31;5;1;1;0;0.8;80.4;2;7.09;1;
Tony Jantschke;defender;6;9;27;0;0;3;0;0.1;75.2;2.3;6.77;1;
Stefan Bell;defender;6;6;25;5;1;8;1;0.8;74.7;3.4;7.02;1;
Marvin Plattenhardt;defender;6;6;25;3;3;3;0;0.9;75.1;1;7.04;1;
Frederik Srensen;defender;6;6;25;0;2;5;0;0.6;71.8;2.6;7.33;1;
Willi Orban;defender;6;6;24;3;1;7;1;0.8;81.5;4.5;7.28;1;
Dominique Heintz;defender;6;6;23;0;0;7;0;0.2;81.5;2.3;6.95;1;
Douglas Santos;defender;6;6;23;0;0;4;0;0.4;68;1.6;6.81;1;
Caglar Sync;defender;6;6;20;0;1;4;0;0.4;76.6;3.5;6.86;1;
Rafinha;defender;5;12;31;1;1;2;0;0.3;89.7;0.5;6.95;1;
Neven Subotic;defender;5;20;28;0;0;1;0;0.2;72.8;2.3;6.79;1;
Kyriakos Papadopoulos;defender;5;18;25;0;0;0;0;0;33.3;6;6.73;1;
Marcel Halstenberg;defender;5;5;25;0;1;4;0;0.9;72.2;3.2;7.2;1;
Erik Durm;defender;5;6;25;0;2;1;0;0.8;73.1;0.9;6.84;1;
Dayot Upamecano;defender;5;5;18;0;0;3;0;0.1;77.3;2.8;6.78;1;
Kevin Vogt;defender;4.5;4.5;25;0;0;6;0;0.1;91.8;1.1;6.77;1;
Robin Knoche;defender;4.5;12;24;0;1;2;0;0.5;83.5;2.7;6.9;1;
Pavel Kaderbek;defender;4.5;4.5;25;0;3;2;0;0.3;74.4;1.1;6.95;1;
David Abraham;defender;4;4;30;1;2;5;1;0.5;83;2.9;7.07;1;
Coke;defender;4;4;30;1;0;1;0;1.1;75.5;0.9;6.85;1;
Julian Korb;defender;4;6;25;0;0;0;0;0.2;76.7;0.5;6.63;1;
Lamine San;defender;4;5.5;30;1;1;3;0;0.2;84.7;2.6;6.85;1;
Konstantinos Stafylidis;defender;4;4;23;4;0;6;0;1.7;71.7;1.5;7.21;1;
Bernardo;defender;4;4;22;0;1;3;0;0.6;74;3.1;7.24;1;
Oscar Wendt;defender;3.5;4.5;31;2;2;3;0;0.9;80;0.6;6.85;1;
Benjamin Hbner;defender;3.5;3.5;27;2;3;10;0;0.7;87.7;2.6;7.39;1;
Giulio Donati;defender;3.5;5;27;0;0;4;0;0.3;69.3;1.2;6.96;1;
Jeffrey Gouweleeuw;defender;3.5;3.5;25;2;1;4;0;0.4;77.4;1.6;7.04;1;
Philipp Max;defender;3.5;3.5;23;1;2;4;0;0.7;72.8;0.6;6.65;1;
Jeremy Toljan;defender;3.5;3.5;22;1;1;1;0;0.7;77.3;0.3;6.54;1;
Fabian Schr;defender;3.5;8;25;0;0;2;0;0.3;84.6;0.7;6.35;1;
Michael Hector;defender;3.5;4;24;1;0;4;1;0.3;71.7;1.5;6.51;1;
Marc-Oliver Kempf;defender;3.5;3.5;22;0;0;2;0;0.1;78.1;2.7;6.7;1;
Sebastian Langkamp;defender;3;3;29;0;0;5;0;0.3;86;3.7;7.06;1;
Dominic Maroh;defender;3;3;30;0;0;3;0;0.3;85.2;1.3;6.56;1;
Philipp Wollscheid;defender;3;9.5;28;0;0;0;0;1;82.7;5;7.06;1;
Bastian Oczipka;defender;3;4;28;1;2;5;0;0.3;77.8;0.9;6.93;1;
Holger Badstuber;defender;3;22;28;0;0;1;0;0.1;91.2;1.7;6.79;1;
Luca Caldirola;defender;3;4;26;0;0;1;0;0.4;70.3;1.6;6.5;1;
Gotoku Sakai;defender;3;4;26;1;2;6;0;0.6;70.3;1.4;6.66;1;
Marcel Tisserand;defender;3;3;24;0;1;9;0;0.6;70.6;3.3;6.69;1;
Lukas Klostermann;defender;3;3;20;0;0;1;0;1;62.5;1;6.67;1;
Felix Passlack;defender;3;3;18;0;0;1;0;0.3;89.6;0.4;6.62;1;
Christian Gnter;defender;2.75;3;24;0;2;5;1;0.5;72.3;0.5;6.41;1;
Marco Russ;defender;2.5;4;31;0;0;1;0;1;80.5;0.5;6.23;1;
Dennis Aogo;defender;2.5;8;30;0;1;1;0;0;82.4;0.6;6.4;1;
Naldo;defender;2.5;12.5;34;1;0;1;1;1.4;85.1;3.4;7.25;1;
Mergim Mavraj;defender;2.5;2.5;30;0;0;2;0;0.4;88.1;3.4;7.17;1;
Christian Trsch;defender;2.5;12;29;0;1;0;0;0.5;71.3;0.9;6.94;1;
Daniel Brosinski;defender;2.5;2.5;28;1;2;6;0;1.2;71.2;1.5;6.79;1;
Timothy Chandler;defender;2.5;4.5;27;0;3;7;1;0.5;73.5;2.1;6.88;1;
Peter Pekark;defender;2.5;3.5;30;1;1;3;0;0.4;75.2;1.1;6.71;1;
Matthias Ostrzolek;defender;2.5;4.5;26;1;1;4;0;0.5;62.8;2;6.71;1;
Robert Bauer;defender;2.5;2.5;22;1;3;5;0;0.4;71.6;1;6.92;1;
Florent Hadergjonaj;defender;2.5;3;22;1;2;6;0;0.4;54.5;2;7.01;1;
Ermin Bicakcic;defender;2.25;3.5;27;1;0;4;0;0.5;88.8;2.2;6.79;1;
Theodor Gebre Selassie;defender;2.25;3.5;30;5;2;4;0;0.9;75.5;3.2;6.93;1;
Santiago Garca;defender;2.25;3;28;1;2;5;0;0.6;73.4;3.5;6.98;1;
Pawel Olkowski;defender;2.25;3;27;0;1;2;0;0.1;60.3;1.9;7.13;1;
Gatan Bussmann;defender;2.25;2.5;26;0;1;1;1;0.7;55.8;2.9;6.84;1;
